sElectionAbbr	lDistTypeHndl	szDistrictTypeOfficialDesc	lDistrictHndl	lParentDistHndl	sElecDistrictID	iElecSubDistrict	szElecDistrictName
2014June3 	42	Census Tract District (2010)	1379		ZT-924	0	2010 CT - 5120.20
2014June3 	42	Census Tract District (2010)	1380		ZT-925	0	2010 CT - 5120.21
2014June3 	42	Census Tract District (2010)	1381		ZT-926	0	2010 CT - 5120.22
2014June3 	42	Census Tract District (2010)	1382		ZT-927	0	2010 CT - 5120.23
2014June3 	42	Census Tract District (2010)	1383		ZT-928	0	2010 CT - 5120.24
2014June3 	42	Census Tract District (2010)	1384		ZT-929	0	2010 CT - 5120.25
2014June3 	42	Census Tract District (2010)	1385		ZT-930	0	2010 CT - 5120.26
2014June3 	42	Census Tract District (2010)	1386		ZT-931	0	2010 CT - 5120.27
2014June3 	42	Census Tract District (2010)	1387		ZT-932	0	2010 CT - 5120.29
2014June3 	42	Census Tract District (2010)	1388		ZT-933	0	2010 CT - 5120.30
2014June3 	42	Census Tract District (2010)	1389		ZT-934	0	2010 CT - 5120.31
2014June3 	42	Census Tract District (2010)	1390		ZT-935	0	2010 CT - 5120.32
2014June3 	42	Census Tract District (2010)	1391		ZT-936	0	2010 CT - 5120.33
2014June3 	42	Census Tract District (2010)	1392		ZT-937	0	2010 CT - 5120.34
2014June3 	42	Census Tract District (2010)	1393		ZT-938	0	2010 CT - 5120.35
2014June3 	42	Census Tract District (2010)	1450		ZT-964	0	2010 CT - 5125.06
2014June3 	42	Census Tract District (2010)	1451		ZT-965	0	2010 CT - 5125.08
2014June3 	42	Census Tract District (2010)	1452		ZT-966	0	2010 CT - 5125.09
2014June3 	6	City	888		*502	0	City of Campbell
2014June3 	6	City	889		*503	0	City of Cupertino
2014June3 	6	City	890		*504	0	City of Gilroy
2014June3 	6	City	891		*505	0	City of Los Altos
2014June3 	6	City	892		*506	0	Town of Los Altos Hills
2014June3 	6	City	893		*507	0	Town of Los Gatos
2014June3 	6	City	894		*508	0	City of Milpitas
2014June3 	6	City	895		*509	0	City of Monte Sereno
2014June3 	6	City	896		*510	0	City of Morgan Hill
2014June3 	6	City	897		*511	0	City of Mountain View
2014June3 	6	City	898		*512	0	City of Palo Alto
2014June3 	6	City	899		*513	0	City of Santa Clara
2014June3 	6	City	900		*514	0	City of Saratoga
2014June3 	6	City	901		*515	0	City of Sunnyvale
2014June3 	6	City	902		*520	0	City of San Jose
2014June3 	6	City	1417	902	*520	5	San Jose-Council District 5
2014June3 	6	City	1418	902	*520	6	San Jose-Council District 6
2014June3 	6	City	1419	902	*520	7	San Jose-Council District 7
