sElectionAbbr	lPrecinctHndl	sPrecinctID	lPrecinctPortionHndl	sPrecinctPortion	lDistrictHndl	sElecDistrictID	lSubDistrictHndl	iElecSubDistrict
2014June3 	2202	0001121	2202		882	*0	882	0
2014June3 	2202	0001121	2202		1427	*405	1427	0
2014June3 	2202	0001121	2202		902	*520	902	0
2014June3 	2202	0001121	2202		902	*520	1413	1
2014June3 	2202	0001121	2202		1408	CG018	1408	0
2014June3 	2202	0001121	2202		934	PK05	934	0
2014June3 	2202	0001121	2202		934	PK05	1463	5
2014June3 	2202	0001121	2202		945	PK09	945	0
2014June3 	2202	0001121	2202		945	PK09	949	4
2014June3 	2202	0001121	2202		1400	SA028	1400	0
2014June3 	2202	0001121	2202		980	SCC-4	980	0
2014June3 	2202	0001121	2202		980	SCC-4	1475	4
2014June3 	2202	0001121	2202		985	SE002	985	0
2014June3 	2202	0001121	2202		986	SHS-1	986	0
2014June3 	2202	0001121	2202		1405	SS015	1405	0
2014June3 	2202	0001121	2202		1032	SUS-U	1032	0
2014June3 	2202	0001121	2202		1039	SUT-03	1039	0
2014June3 	2202	0001121	2202		1287	ZT-832	1287	0
2014June3 	2203	0001122	2203		882	*0	882	0
2014June3 	2203	0001122	2203		1427	*405	1427	0
2014June3 	2203	0001122	2203		902	*520	902	0
2014June3 	2203	0001122	2203		902	*520	1413	1
2014June3 	2203	0001122	2203		1408	CG018	1408	0
2014June3 	2203	0001122	2203		934	PK05	934	0
2014June3 	2203	0001122	2203		934	PK05	1463	5
2014June3 	2203	0001122	2203		945	PK09	945	0
2014June3 	2203	0001122	2203		945	PK09	949	4
2014June3 	2203	0001122	2203		1400	SA028	1400	0
2014June3 	2203	0001122	2203		980	SCC-4	980	0
2014June3 	2203	0001122	2203		980	SCC-4	1475	4
2014June3 	2203	0001122	2203		985	SE002	985	0
2014June3 	2203	0001122	2203		986	SHS-1	986	0
2014June3 	2203	0001122	2203		1405	SS015	1405	0
2014June3 	2203	0001122	2203		1032	SUS-U	1032	0
2014June3 	2203	0001122	2203		1039	SUT-03	1039	0
2014June3 	2203	0001122	2203		1242	ZT-787	1242	0
2014June3 	2204	0001123	2204		882	*0	882	0
2014June3 	2204	0001123	2204		1426	*404	1426	0
2014June3 	2204	0001123	2204		902	*520	902	0
2014June3 	2204	0001123	2204		902	*520	1413	1
2014June3 	2204	0001123	2204		1408	CG018	1408	0
2014June3 	2204	0001123	2204		934	PK05	934	0
2014June3 	2204	0001123	2204		934	PK05	1463	5
2014June3 	2204	0001123	2204		945	PK09	945	0
2014June3 	2204	0001123	2204		945	PK09	949	4
2014June3 	2204	0001123	2204		1400	SA028	1400	0
2014June3 	2204	0001123	2204		980	SCC-4	980	0
2014June3 	2204	0001123	2204		980	SCC-4	1475	4
2014June3 	2204	0001123	2204		985	SE002	985	0
2014June3 	2204	0001123	2204		986	SHS-1	986	0
2014June3 	2204	0001123	2204		1405	SS015	1405	0
2014June3 	2204	0001123	2204		1032	SUS-U	1032	0
2014June3 	2204	0001123	2204		1039	SUT-03	1039	0
2014June3 	2204	0001123	2204		1242	ZT-787	1242	0
2014June3 	2205	0001124	2205		882	*0	882	0
2014June3 	2205	0001124	2205		1426	*404	1426	0
2014June3 	2205	0001124	2205		902	*520	902	0
2014June3 	2205	0001124	2205		902	*520	1413	1
2014June3 	2205	0001124	2205		1408	CG018	1408	0
2014June3 	2205	0001124	2205		934	PK05	934	0
2014June3 	2205	0001124	2205		934	PK05	1463	5
2014June3 	2205	0001124	2205		945	PK09	945	0
2014June3 	2205	0001124	2205		945	PK09	949	4
2014June3 	2205	0001124	2205		1400	SA028	1400	0
2014June3 	2205	0001124	2205		980	SCC-4	980	0
2014June3 	2205	0001124	2205		980	SCC-4	1475	4
2014June3 	2205	0001124	2205		985	SE002	985	0
2014June3 	2205	0001124	2205		986	SHS-1	986	0
2014June3 	2205	0001124	2205		1405	SS015	1405	0
2014June3 	2205	0001124	2205		1032	SUS-U	1032	0
2014June3 	2205	0001124	2205		1039	SUT-03	1039	0
2014June3 	2205	0001124	2205		1242	ZT-787	1242	0
2014June3 	2206	0001125	2206		882	*0	882	0
2014June3 	2206	0001125	2206		1426	*404	1426	0
2014June3 	2206	0001125	2206		902	*520	902	0
2014June3 	2206	0001125	2206		902	*520	1413	1
2014June3 	2206	0001125	2206		1408	CG018	1408	0
2014June3 	2206	0001125	2206		934	PK05	934	0
2014June3 	2206	0001125	2206		934	PK05	1463	5
2014June3 	2206	0001125	2206		945	PK09	945	0
2014June3 	2206	0001125	2206		945	PK09	949	4
2014June3 	2206	0001125	2206		1400	SA028	1400	0
2014June3 	2206	0001125	2206		980	SCC-4	980	0
2014June3 	2206	0001125	2206		980	SCC-4	1475	4
2014June3 	2206	0001125	2206		985	SE002	985	0
2014June3 	2206	0001125	2206		986	SHS-1	986	0
2014June3 	2206	0001125	2206		1405	SS015	1405	0
2014June3 	2206	0001125	2206		1032	SUS-U	1032	0
2014June3 	2206	0001125	2206		1039	SUT-03	1039	0
2014June3 	2206	0001125	2206		1242	ZT-787	1242	0
2014June3 	2207	0001126	2207		882	*0	882	0
2014June3 	2207	0001126	2207		1426	*404	1426	0
2014June3 	2207	0001126	2207		902	*520	902	0
2014June3 	2207	0001126	2207		902	*520	1413	1
2014June3 	2207	0001126	2207		1408	CG018	1408	0
2014June3 	2207	0001126	2207		934	PK05	934	0
2014June3 	2207	0001126	2207		934	PK05	1463	5
2014June3 	2207	0001126	2207		945	PK09	945	0
