sElectionAbbr	iBalType	iContestID	iCalcCtstRotation
2014June3 	79	3001	3
2014June3 	79	4410	1
2014June3 	79	4420	1
2014June3 	79	4430	1
2014June3 	80	1030	10
2014June3 	80	1040	1
2014June3 	80	1050	1
2014June3 	80	1060	1
2014June3 	80	1070	1
2014June3 	80	1080	4
2014June3 	80	1090	1
2014June3 	80	1100	2
2014June3 	80	1150	1
2014June3 	80	1310	0
2014June3 	80	2604	1
2014June3 	80	2621	2
2014June3 	80	2624	2
2014June3 	80	3001	1
2014June3 	80	4410	1
2014June3 	80	4420	1
2014June3 	80	4430	2
2014June3 	81	1030	10
2014June3 	81	1040	1
2014June3 	81	1050	1
2014June3 	81	1060	1
2014June3 	81	1070	1
2014June3 	81	1080	4
2014June3 	81	1090	1
2014June3 	81	1100	2
2014June3 	81	1150	1
2014June3 	81	1310	0
2014June3 	81	2604	1
2014June3 	81	2621	2
2014June3 	81	2624	2
2014June3 	81	3001	1
2014June3 	81	4401	0
2014June3 	81	4410	1
2014June3 	81	4420	1
2014June3 	81	4430	2
2014June3 	82	1030	10
2014June3 	82	1040	1
2014June3 	82	1050	1
2014June3 	82	1060	1
2014June3 	82	1070	1
2014June3 	82	1080	4
2014June3 	82	1090	1
2014June3 	82	1100	2
2014June3 	82	1150	1
2014June3 	82	1310	0
2014June3 	82	2604	1
2014June3 	82	2621	2
2014June3 	82	2624	2
2014June3 	82	3001	1
2014June3 	82	4410	1
2014June3 	82	4420	1
2014June3 	82	4430	2
2014June3 	83	1030	12
2014June3 	83	1040	3
2014June3 	83	1050	3
2014June3 	83	1060	3
2014June3 	83	1070	3
2014June3 	83	1080	6
2014June3 	83	1090	3
2014June3 	83	1100	1
2014June3 	83	1150	2
2014June3 	83	1320	0
2014June3 	83	2604	1
2014June3 	83	2621	1
2014June3 	33	1030	10
2014June3 	33	1040	1
2014June3 	33	1050	1
2014June3 	33	1060	1
2014June3 	33	1070	1
2014June3 	33	1080	4
2014June3 	33	1090	1
2014June3 	33	1100	2
2014June3 	33	1150	1
2014June3 	33	1310	0
2014June3 	33	2604	1
2014June3 	33	2621	2
2014June3 	33	2624	2
2014June3 	33	3001	1
2014June3 	33	4410	1
2014June3 	33	4420	1
2014June3 	33	4430	2
2014June3 	33	5200	0
2014June3 	33	5203	0
2014June3 	34	1030	10
2014June3 	34	1040	1
2014June3 	34	1050	1
2014June3 	34	1060	1
2014June3 	34	1070	1
2014June3 	34	1080	4
2014June3 	34	1090	1
2014June3 	34	1100	2
2014June3 	34	1130	3
2014June3 	34	1310	0
