sElectionAbbr	lPctPorHndl	lPrecinctHndl	sPrecinctID	sPrecinctPortion	szPrecinctName	iBalType	sAbsenteePrecinctID	szAbsenteePrecinctName	iMailBallotPrecinct	sVotingPrecinctID	szVotingPrecinctName
2014June3 		2107	0001024		PCT 1024	4	8001024	PCT 1024  C	0	0001024	PCT 1024  C
2014June3 		2108	0001025		PCT 1025	4	8001024	PCT 1024  C	0	0001024	PCT 1024  C
2014June3 		2109	0001026		PCT 1026	4	8001026	PCT 1026	0	0001026	PCT 1026
2014June3 		2110	0001027		PCT 1027	4	8001026	PCT 1026	0	0001026	PCT 1026
2014June3 		2111	0001028		PCT 1028	4	8001021	PCT 1021  C	0	0001021	PCT 1021  C
2014June3 		2112	0001029		PCT 1029	3	8001014	PCT 1014  C/S	0	0001014	PCT 1014  C/S
2014June3 		2113	0001030		PCT 1030	3	8001030	PCT 1030  C	0	0001030	PCT 1030  C
2014June3 		2114	0001031		PCT 1031	3	8001030	PCT 1030  C	0	0001030	PCT 1030  C
2014June3 		2115	0001032		PCT 1032	4	8001032	PCT 1032  C	0	0001032	PCT 1032  C
2014June3 		2116	0001033		PCT 1033	4	8001032	PCT 1032  C	0	0001032	PCT 1032  C
2014June3 		2117	0001034		PCT 1034	4	8001034	PCT 1034  C	0	0001034	PCT 1034  C
2014June3 		2118	0001035		PCT 1035	4	8001035	PCT 1035  C	0	0001035	PCT 1035  C
2014June3 		2119	0001036		PCT 1036	4	8001035	PCT 1035  C	0	0001035	PCT 1035  C
2014June3 		4126	0001037		PCT 1037	4	8001037	PCT 1037  C	0	0001037	PCT 1037  C
2014June3 		2121	0001038		PCT 1038	4	8001038	PCT 1038  C	0	0001038	PCT 1038  C
2014June3 		2122	0001039		PCT 1039	4	8001037	PCT 1037  C	0	0001037	PCT 1037  C
2014June3 		2123	0001040		PCT 1040	5	8001040	PCT 1040  C	0	0001040	PCT 1040  C
2014June3 		2124	0001041		PCT 1041	2	8001041	PCT MAIL 1041	1	0001041	PCT MAIL 1041
2014June3 		2125	0001042		PCT 1042	2	8001041	PCT MAIL 1041	1	0001041	PCT MAIL 1041
2014June3 		2127	0001044		PCT 1044	2	8001041	PCT MAIL 1041	1	0001041	PCT MAIL 1041
2014June3 		2128	0001045		PCT 1045	5	8001045	PCT 1045  C	0	0001045	PCT 1045  C
2014June3 		2129	0001046		PCT 1046	5	8001046	PCT 1046  C	0	0001046	PCT 1046  C
2014June3 		2130	0001047		PCT 1047	5	8001047	PCT 1047  C	0	0001047	PCT 1047  C
2014June3 		2131	0001048		PCT 1048	5	8001047	PCT 1047  C	0	0001047	PCT 1047  C
2014June3 		2132	0001049		PCT 1049	5	8001047	PCT 1047  C	0	0001047	PCT 1047  C
2014June3 		2133	0001050		PCT 1050	5	8001050	PCT 1050  C	0	0001050	PCT 1050  C
2014June3 		2134	0001051		PCT 1051	5	8001051	PCT 1051  C	0	0001051	PCT 1051  C
2014June3 		2135	0001052		PCT 1052	5	8001050	PCT 1050  C	0	0001050	PCT 1050  C
2014June3 		2136	0001053		PCT 1053	5	8001053	PCT 1053  C	0	0001053	PCT 1053  C
2014June3 		2137	0001054		PCT 1054	5	8001053	PCT 1053  C	0	0001053	PCT 1053  C
2014June3 		2138	0001055		PCT 1055	5	8001055	PCT 1055  C/S	0	0001055	PCT 1055  C/S
2014June3 		2139	0001056		PCT 1056	6	8001056	PCT 1056  S/V	0	0001056	PCT 1056  S/V
2014June3 		2140	0001057		PCT 1057	6	8001057	PCT 1057  S/V	0	0001057	PCT 1057  S/V
2014June3 		2141	0001058		PCT 1058	5	8001055	PCT 1055  C/S	0	0001055	PCT 1055  C/S
2014June3 		2142	0001059		PCT 1059	2	8001059	PCT 1059  S	0	0001059	PCT 1059  S
2014June3 		2143	0001060		PCT 1060	2	8001009	PCT 1009  S	0	0001009	PCT 1009  S
2014June3 		2144	0001061		PCT 1061	2	8001061	PCT 1061  S	0	0001061	PCT 1061  S
2014June3 		2145	0001062		PCT 1062	2	8001059	PCT 1059  S	0	0001059	PCT 1059  S
2014June3 		2146	0001063		PCT 1063	2	8001063	PCT 1063  C/S	0	0001063	PCT 1063  C/S
2014June3 		2147	0001064		PCT 1064	2	8001063	PCT 1063  C/S	0	0001063	PCT 1063  C/S
2014June3 		2148	0001065		PCT 1065	2	8001065	PCT 1065  C/S	0	0001065	PCT 1065  C/S
2014June3 		2149	0001066		PCT 1066	2	8001066	PCT 1066  C/S	0	0001066	PCT 1066  C/S
2014June3 		2150	0001067		PCT 1067	2	8001066	PCT 1066  C/S	0	0001066	PCT 1066  C/S
2014June3 		2151	0001068		PCT 1068	2	8001065	PCT 1065  C/S	0	0001065	PCT 1065  C/S
2014June3 		2152	0001069		PCT 1069	2	8001069	PCT 1069  C/S	0	0001069	PCT 1069  C/S
2014June3 		2153	0001070		PCT 1070	2	8001070	PCT 1070  C/S	0	0001070	PCT 1070  C/S
2014June3 		2154	0001071		PCT 1071	2	8001041	PCT MAIL 1041	1	0001041	PCT MAIL 1041
2014June3 		2155	0001072		PCT 1072	5	8001072	PCT 1072  C	0	0001072	PCT 1072  C
2014June3 		2158	0001075		PCT 1075	5	8001075	PCT 1075  C	0	0001075	PCT 1075  C
2014June3 		2159	0001076		PCT 1076	4	8001037	PCT 1037  C	0	0001037	PCT 1037  C
2014June3 		2160	0001077		PCT 1077	7	8001077	PCT MAIL 1077	1	0001077	PCT MAIL 1077
2014June3 		2161	0001078		PCT 1078	8	8001078	PCT 1078  P/S/V	0	0001078	PCT 1078  P/S/V
2014June3 		2162	0001079		PCT 1079	7	8001077	PCT MAIL 1077	1	0001077	PCT MAIL 1077
2014June3 		2163	0001080		PCT 1080	5	8001080	PCT 1080  C	0	0001080	PCT 1080  C
2014June3 		2164	0001081		PCT 1081	2	8001081	PCT 1081  S	0	0001081	PCT 1081  S
2014June3 		2165	0001082		PCT 1082	8	8001082	PCT 1082  P/S/V	0	0001082	PCT 1082  P/S/V
2014June3 		2166	0001083		PCT 1083	5	8001055	PCT 1055  C/S	0	0001055	PCT 1055  C/S
2014June3 		2167	0001084		PCT 1084	4	8001017	PCT 1017  S/V	0	0001017	PCT 1017  S/V
2014June3 		2168	0001085		PCT 1085	3	8001085	PCT MAIL 1085	1	0001085	PCT MAIL 1085
2014June3 		2169	0001086		PCT 1086	4	8001026	PCT 1026	0	0001026	PCT 1026
2014June3 		2170	0001087		PCT 1087	5	8001045	PCT 1045  C	0	0001045	PCT 1045  C
2014June3 		2171	0001088		PCT 1088	5	8001055	PCT 1055  C/S	0	0001055	PCT 1055  C/S
2014June3 		2172	0001089		PCT 1089	2	8001065	PCT 1065  C/S	0	0001065	PCT 1065  C/S
2014June3 		2173	0001090		PCT 1090	2	8001065	PCT 1065  C/S	0	0001065	PCT 1065  C/S
